Temperature,N.Treatment,term,estimate,std.error,statistic,p.value
13,0,a,0.01972162378044187,0.0019681678175547616,10.020295832772982,2.1110112848781202e-5
13,1,a,0.024643813650974608,0.0018607431656978782,13.244070490368756,3.2713825890748794e-6
13,2,a,0.03208898885593652,6.49350886657564e-4,49.41702477855965,3.637236101353381e-10
13,3,a,0.027788837862735935,0.001009972825789014,27.514441134618306,2.149875437783092e-8
13,4,a,0.03000095327065075,3.387766645183212e-4,88.55672899816356,6.1662160978539176e-12
13,5,a,0.027245298668949515,3.4252729681185056e-4,79.54197788772231,1.3064910340487619e-11
13,6,a,0.026911081514109713,3.14568602635646e-4,85.54916571022154,7.85186904133002e-12
13,7,a,0.029993589935408994,0.0010789121693596353,27.799843942080138,2.001218919723086e-8
13,8,a,0.03247242054854575,3.736825876029751e-4,86.89840422280147,7.037860769677087e-12
16,0,a,0.0252326831755285,0.0012078752451187855,20.890140167618927,1.4477095470014943e-7
16,1,a,0.02818327650678551,0.0016213963757766316,17.382101580982024,5.129861379262692e-7
16,2,a,0.030030381050117044,0.0013483587950996743,22.271802697661876,9.301457358540251e-8
16,3,a,0.031646519977307094,8.33303987809137e-4,37.97716132441638,2.283365987580244e-9
16,4,a,0.03047125138373098,0.0016174001320586804,18.839649372939128,2.950342253128025e-7
16,5,a,0.03582040651961344,7.5991387420763e-4,47.13745561885384,5.05780608511967e-10
16,6,a,0.03257141107584458,8.467503603485718e-4,38.46636813055065,2.088477028985545e-9
16,7,a,0.043163256541044207,6.522443651138105e-4,66.17651121219365,4.728137886544031e-11
16,8,a,0.040053300578494044,2.863271803485281e-4,139.8864771753058,2.516876003554335e-13
19,0,a,0.0276543827426605,0.003846592454578439,7.189319656087985,8.105950317105922e-4
19,1,a,0.03982641365318378,0.001955007381645889,20.37149016780416,5.272811784350848e-6
19,2,a,0.04781168795364137,0.00281286621575414,16.997498027407207,1.2894564036921546e-5
19,3,a,0.04439113122756278,6.051558253698876e-4,73.35487715156624,8.918555761548442e-9
19,4,a,0.049065358447205686,6.026718085814398e-4,81.41306387417559,5.298239502303192e-9
19,5,a,0.0505417436214531,2.1110555741856352e-4,239.41455752982807,2.4125144072236946e-11
19,6,a,0.04364008403405969,2.0212509319871114e-4,215.9063149628666,4.044616245598994e-11
19,7,a,0.05602605949792662,0.0015424892873256788,36.321846743624974,2.9781300476965404e-7
19,8,a,0.05753776577086561,8.002656152254352e-4,71.89833559780922,9.858479987091692e-9
22,0,a,0.03776504028144692,0.0037253509580695704,10.137310741057343,7.665770443165173e-6
22,1,a,0.04489752880091224,0.0017735159672110693,25.315548115146406,6.349238396689967e-9
22,2,a,0.04290319912202411,0.0018260700448755167,23.49482663188247,1.145358449572246e-8
22,3,a,0.04664830858730448,0.0036220516337648998,12.878973936331338,1.2488016109064044e-6
22,4,a,0.04968982091934554,0.003748918745696367,13.254440624083355,1.0015635877488117e-6
22,5,a,0.04660760096258901,0.002657497023325304,17.538157353895848,1.1407583112303752e-7
22,6,a,0.05089041792879663,0.004868644246029348,10.452687721083876,6.093236709735071e-6
22,7,a,0.060508856233300864,0.003183474488530393,19.007174849776774,6.076140286984626e-8
22,8,a,0.06188811217320809,0.0021663360987578006,28.568102709775907,2.4373322831319628e-9
25,0,a,0.034569669326050184,0.00415450993362227,8.320998114911061,1.6143171237874938e-5
25,1,a,0.039040373473344096,0.0021555655009271282,18.111429903917315,2.1736896531887667e-8
25,2,a,0.040948691759101874,0.0012482574953520914,32.8046832577213,1.1185376771014349e-10
25,3,a,0.04246056754849715,0.002928810520359742,14.497546786769181,1.5160176416455992e-7
25,4,a,0.04702515281489664,0.004471617732831622,10.516362449685133,2.349653243518686e-6
25,5,a,0.05164668521598637,0.002443559328836065,21.135842541865813,5.5750890360986555e-9
25,6,a,0.0531122201862626,0.0034278582901347615,15.494287012715034,8.509874956022564e-8
25,7,a,0.05872673377785813,3.9352452172793074e-4,149.2327174936757,1.384766526376684e-16
25,8,a,0.06375225646780516,3.362180078794598e-4,189.61582953243092,1.6052949594651348e-17
28,0,a,0.02846316751516279,0.003444071151401771,8.26439590354514,1.705516262816893e-5
28,1,a,0.037824347572726714,0.0019447813137517124,19.44915210017063,1.16139954223051e-8
28,2,a,0.045105456062540746,6.15768698412051e-4,73.25064781444564,8.328945360950646e-14
28,3,a,0.03424440420975106,0.00367490041624445,9.318457735175038,6.418574917473462e-6
28,4,a,0.04685544927637887,0.0027851435066909096,16.823351889701676,4.149817660194447e-8
28,5,a,0.050731681527739575,0.002485012214844898,20.415063243826346,7.574449442106949e-9
28,6,a,0.05245905943698735,0.0022098401084699616,23.738848451487605,1.9933365342346524e-9
28,7,a,0.05317339618308365,0.003181909395021588,16.711159741468027,4.399918245617913e-8
28,8,a,0.05738870236404568,0.0025275725211207265,22.705066574548574,2.9580984984587238e-9
